Hola, Hello
Adios, Goodbye
Gracias, Thank you
Por favor, Please
Si, Yes
Claro, Of course
No, No
Amor, Love
¿Cómo te llamas?, What is your name?
¿Qué hora tienes?, What time is it?
¿De dónde viene?, Where are you from?
¿Dónde vives?, Where do you live?
¿Puede ayudarme?, Can you help me?
¿Podría ayudarle?, Can I help you?
¿Cuánto cuesta eso?, How much does it cost?
¿Entiende?, Do you understand?
Buenos días, Good morning
Buenas tardes, Good afternoon
Buenas noches, Good evening / Good night
¿Cómo estás?, How are you?
¿Qué tal?, What’s up?
¿Cómo te va?, How’s it going?
¿Qué haces?, What are you doing?
¿Qué pasa?, What’s happening?
Abrir, To open
Ayudar, To help
Estar, To be
Gustar, To like
Jugar, To play
Llamar, To call
Querer, To want
Tener, To have
Ser, To be
Saber, To know
Familia, Family
Hijo, Son
Hija, Daughter
Amigo, Friend
Niña, Girl
Niño, Boy
Hombre, Man
Mujer, Woman
Caliente, Hot
Frío/ fría, Cold
Lluvia, Rain
Sol, Sun
Luna, Moon
Nieve, Snow
Viento, Wind