はい hai,Yes 
いいえ iie,No 
こんにちは konnichiwa,Hello 
じゃね ja ne,Goodbye 
ありがとう arigatou,Thank you 
ごめんなさい gomen nasai,I’m Sorry 
すみません sumimasen,Excuse me 
私 watashi,I 
あなた anata,You 
これ kore,This 
それ sore,That 
彼 kare,He 
彼女 kanojo,She 
彼ら karera,They 
いち ichi,One 
に ni,Two 
さん san,Three 
し shi, Four 
よん yon,Four 
ご go,Five 
ろく roku,Six 
なな nana, Seven
しち shichi,Seven 
はち hachi,Eight 
く ku , Nine
きゅう kyuu,Nine 
じゅう juu,Ten 
今日 kyou, Today 
明日 ashita,Tomorrow 
昨日 kinou,Yesterday 
今 ima,Now 
前に mae ni,Before 
後で ato de,Later 
家 ie,Home 
uchi, Home
店 mise,Shop 
映画 eiga,Movie 
学校 gakkou,School 
車 kuruma,Car 
町 machi,Town 
音楽 ongaku,Music 
家族 kazoku,Family 
出身 shusshin,Hometown 
トイレ toire,Bathroom 
する suru,To do 
です desu,To be 
なる naru,To become 
ある aru,There is (inanimate)
いる iru,There is (living) 
行く iku,To go 
言う iu,To say 
見る miru,To see 
来る kuru,To come 
食べる taberu,To eat 
おはようございます！ Ohayou gozaimasu, Good morning!
こんにちは Konnichiwa, Hello or Good afternoon
いい天気ですね！Ii tenki desu ne, Good weather, huh!
元気ですか Genki desu ka, How are you?
久しぶり！Hisashiburi, Long time, no see!
こんばんは Konbanwa, Good evening
おやすみなさい Oyasumi nasai, Goodnight
ただいまー Tadaima-, I’m home
おかえりなさい Okaeri nasai, Welcome home or Welcome back
失礼します Shitsurei shimasu, Please excuse me for leaving
お疲れ様でした Otsukaresama deshita, Thanks for your hard work
行ってきます Ittekimasu, I’m going
行ってらっしゃい Itterasshai, Go and come back
ありがとうございます arigatou gozaimasu, Thank you
ごめんなさい gomen nasai, I’m sorry
はい Hhai, Yes (formal)
うん un, Yes (informal)
いいえ iie, No (formal)
ううん  or uun, No (informal)
名前は_ namae wa _, My name is _
いいですよ。ii desu yo, It’s good
だめです。dame desu, It’s bad
もう一度お願いします。mou ichido onegai shimasu, Again please.
ゆっくりお願いします yukkuri onegai shimasu, More slowly please
わかりません wakarimasen, I don’t understand
良かった yokatta, Great! or I’m glad!
どういたしまして Dou itashimashite, You’re welcome
少し日本語を話します Sukoshi nihongo wo hanashimasu,I speak a little Japanese
また会いましょう Mata aimashou,Let’s meet again
誰 dare, Who?
何 nani, What?
何 nan, What?
いつ itsu, When?
どこ doko, Where?
どうして doushite, Why?
どう dou, How?
どちら? dochira, Which?
お名前は何ですか o-namae wa nan desu ka, What’s your name?
いくらですか ikura desu ka, How much Is It?
わかりますか wakarimasu ka, Do you understand?
はどこですか __ wa doko desu ka, Where is the _?
これは何ですか kore wa nan desu ka, What’s this?
これは何意味ですか kore wa nan imi desu ka, What does this mean?
日本語で_は何ですか nihongo de _ wa nan desu ka, What is _ in Japanese?
英語を話せますか eigo wo hanasemasu ka, Can you speak English?
何って言ったの nani tte itta no, What did you say?
_ がありますか _ ga arimasu ka, Do you have __?
大丈夫ですか daijoubu desu ka, Are you okay?
どうしたんだ doushitanda, What happened?
E-メール／電話番号を教えてもらえますか e-meru/denwa bango wo oshiete moraemasu ka, Could I have your email address/phone number?
_ を利用しますか * wo riyou shimasu ka*, Do you use _?
いつは会えますか Itsu wa aemasu ka, When can we meet?
かわいい Kawaii, Cute
かっこいい Kakkoii, Cool
すごい！Sugoi, Wow! or Amazing!
ヤバい Yabai, Uncool
うそ! Uso!, No way!
ばか！ Baka!, Idiot!
よし Yoshi, OK!